National Park,State,Type,default_color
Pea Ridge National Military Park,Arkansas,National Military Park,#000000
Pearl Harbor National Memorial,Hawaii,National Memorial,#CC3333
Pecos National Historical Park,New Mexico,National Historical Park,#009999
Pennsylvania Avenue National Historic Site,District of Columbia,National Historic Site,#66CCFF
Perrys Victory and International Peace Memorial,Ohio,Site,#FF9933
Petersburg National Battlefield,Virginia,National Battlefield,#0066CC
Petrified Forest National Park,Arizona,National Park,#009999
Petroglyph National Monument,New Mexico,National Monument,#009999
Pictured Rocks National Lakeshore,Michigan,National Lakeshore,#FF9933
Pinnacles National Park,California,National Park,#CC3333
Pipe Spring National Monument,Arizona,National Monument,#009999
Pipestone National Monument,Minnesota,National Monument,#FF9933
Piscataway Park,Maryland,Site,#0066CC
Point Reyes National Seashore,California,National Seashore,#CC3333
Port Chicago Naval Magazine National Memorial,California,National Memorial,#CC3333
Potomac Heritage National Scenic Trail,Maryland,National Scenic Trail,#0066CC
Poverty Point National Monument,Louisiana,National Monument,#000000
President William Jefferson Clinton Birthplace Home National Historic Site,Arkansas,National Historic Site,#000000
Prince William Forest Park,Virginia,Site,#0066CC
Pullman National Historical Park,Illinois,National Historical Park,#FF9933
Puuhonua O Honaunau National Historical Park,Hawaii,National Historical Park,#CC3333
Puukohola Heiau National Historic Site,Hawaii,National Historic Site,#CC3333
Rainbow Bridge National Monument,Utah,National Monument,#996633
Reconstruction Era National Historical Park,South Carolina,National Historical Park,#339966
Redwood National Park,California,National Park,#CC3333
Richmond National Battlefield Park,Virginia,National Battlefield Park,#0066CC
Rio Grande Wild and Scenic River,Texas,Site,#009999
River Raisin National Battlefield Park,Michigan,National Battlefield Park,#FF9933
Rock Creek Park,District of Columbia,Site,#66CCFF
Rocky Mountain National Park,Colorado,National Park,#996633
Roger Williams National Memorial,Rhode Island,National Memorial,#003366
Rosie the Riveter World War II Home Front National Historical Park,California,National Historical Park,#CC3333
Ross Lake National Recreation Area,Washington,National Recreation Area,#9966CC
Russell Cave National Monument,Alabama,National Monument,#339966
Sagamore Hill National Historic Site,New York,National Historic Site,#003366
Saguaro National Park,Arizona,National Park,#009999
Saint Croix Island International Historic Site,Maine,Site,#003366
Saint Croix National Scenic Riverway,Wisconsin,National Scenic Riverway,#FF9933
Saint Pauls Church National Historic Site,New York,National Historic Site,#003366
Saint-Gaudens National Historical Park,New Hampshire,National Historical Park,#003366
Salem Maritime National Historic Site,Massachusetts,National Historic Site,#003366
Salinas Pueblo Missions National Monument,New Mexico,National Monument,#009999
Salt River Bay National Historical Park and Ecological Preserve,Virgin Islands,National Historical Park,#000000
San Antonio Missions National Historical Park,Texas,National Historical Park,#009999
San Francisco Maritime National Historical Park,California,National Historical Park,#CC3333
San Juan Island National Historical Park,Washington,National Historical Park,#9966CC
San Juan National Historic Site,Puerto Rico,National Historic Site,#000000
Sand Creek Massacre National Historic Site,Colorado,National Historic Site,#996633
Santa Monica Mountains National Recreation Area,California,National Recreation Area,#CC3333
Saratoga National Historical Park,New York,National Historical Park,#003366
Saugus Iron Works National Historic Site,Massachusetts,National Historic Site,#003366
Scotts Bluff National Monument,Nebraska,National Monument,#FF9933
Sequoia National Park,California,National Park,#CC3333
Shenandoah National Park,Virginia,National Park,#0066CC
Shiloh National Military Park,Tennessee,National Military Park,#339966
Sitka National Historical Park,Alaska,National Historical Park,#9966CC
Sleeping Bear Dunes National Lakeshore,Michigan,National Lakeshore,#FF9933
Springfield 1908 Race Riot National Monument,Illinois,National Monument,#FF9933
Springfield Armory National Historic Site,Massachusetts,National Historic Site,#003366
Statue of Liberty National Monument,New York,National Monument,#003366
Ste. Genevieve National Historical Park,Missouri,National Historical Park,#FF9933
Steamtown National Historic Site,Pennsylvania,National Historic Site,#0066CC
Stones River National Battlefield,Tennessee,National Battlefield,#339966
Stonewall National Monument,New York,National Monument,#003366
Sunset Crater Volcano National Monument,Arizona,National Monument,#009999
Tallgrass Prairie National Preserve,Kansas,National Preserve,#FF9933
Thaddeus Kosciuszko National Memorial,Pennsylvania,National Memorial,#0066CC
Theodore Roosevelt Birthplace National Historic Site,New York,National Historic Site,#003366
Theodore Roosevelt Inaugural National Historic Site,New York,National Historic Site,#003366
